pH;Hardness;Solids;Chloramines;Sulfate;Conductivity;Organic_carbon;Trihalomethanes;Turbidity;type
8.069524012;201.8548773;16524.71133;1.646084843;281.6528532;561.6356727;19.49646199;56.70557102;2.148468306;Type1
6.061571773;148.626078;21357.34815;7.746000654;480.2031988;527.7457185;6.39958103;43.96331925;1.97330424;Type2
8.296232749;114.5196757;23444.16916;2.781926435;214.9350153;508.6285631;16.34147402;84.47561841;4.792328869;Type2
4.422001259;202.9448517;11096.9478;3.103075394;287.8970513;527.240827;17.37294335;108.863735;1.304329169;Type2
3.610106496;210.0902362;17380.20648;2.589378762;426.5746517;561.7453453;11.07359923;53.8115938;2.91572313;Type2
4.272281232;264.6853719;27266.81572;9.096887321;238.1058702;695.1234613;15.14759224;42.04003575;3.964172207;Type1
8.373004634;220.3435524;13954.65037;7.031227269;425.7661485;626.7216743;5.176671953;62.0249079;1.863354746;Type1
7.597684034;220.2113447;12483.20741;2.593441584;476.1395843;486.8214505;10.49140858;91.26311384;2.03443077;Type2
4.349373417;118.111487;10485.3423;9.563052727;458.9724726;657.0053041;5.487520772;96.96951134;4.563801109;Type1
8.893296074;183.5355057;18410.2534;8.238783489;448.659678;637.1070324;15.38752929;66.19203624;3.378337561;Type1
8.133341582;288.1925513;20738.63997;4.852777865;372.916221;420.6757636;6.116972254;117.2333955;3.736178846;Type1
3.989723954;144.0366408;21629.90402;5.499741563;283.2406479;544.0819432;7.523711341;54.02560356;4.91713979;Type1
7.973500866;284.4498962;17309.85286;7.702217649;499.0543123;651.8074418;5.395398756;23.80695368;2.768090078;Type1
4.679016919;163.9322881;15365.56633;3.928587468;223.2963746;416.8228838;15.10789039;29.81687131;3.191598099;Type2
4.978183639;126.1333952;26519.62288;6.902730384;376.4288957;441.8493564;12.29781242;102.2191655;2.769757494;Type2
5.129365609;126.2908321;14567.96746;1.16291598;489.2327301;504.4688079;18.35343388;96.83474509;4.346679329;Type1
4.213453147;169.5380238;12915.93698;8.827100544;366.0497616;572.9028024;19.44683925;100.4579235;4.665690069;Type1
3.775178979;201.0028726;15829.48016;6.756717967;282.951927;571.333627;6.185598999;39.33234528;3.153897247;Type2
3.81879081;224.8010389;17921.0769;2.879489646;333.2166898;482.5591451;10.74517138;31.16860318;4.592004638;Type1
8.197995111;290.3029765;21849.26886;1.559717553;446.9925599;491.3479673;9.474973627;107.2731675;3.040589151;Type1
5.779853414;166.2275967;18785.29727;1.359666872;407.1284689;521.8847475;13.6897845;103.0422802;4.511489622;Type1
3.736234878;253.6757311;25665.73338;2.91236901;303.6126418;601.7487675;16.58194308;70.30045754;1.166733454;Type2
6.627591;235.3703651;24953.27163;1.13713625;435.6023368;612.8483151;6.243545403;31.67717271;1.713076988;Type1
4.634153415;148.8327135;13398.30782;9.18392607;411.227717;539.3775618;17.39115806;102.0922571;4.041094928;Type2
8.977376887;159.2167337;12630.65982;2.640973647;204.0958293;430.4894252;7.761144118;97.18930693;4.662506921;Type2
3.142790957;269.190906;13801.6582;1.269041007;360.6724844;443.9745202;10.01532367;116.4908869;4.759274794;Type2
4.940608477;203.6816588;10387.17624;1.712622278;222.375997;698.4893352;18.19096631;89.80582282;3.173034437;Type1
5.948666667;206.0689064;11816.12661;8.461697959;300.5948416;549.6144856;19.40996314;99.00259785;2.145891124;Type2
7.066796183;167.5925411;26414.38313;3.567640764;368.6193578;506.3041502;8.125096857;57.0944386;1.971008223;Type2
3.194670872;234.2176231;20906.39682;1.820751863;491.1326961;489.8089128;16.63784447;61.66038718;3.662935322;Type1
6.238443207;252.3191476;18190.40449;1.033438543;436.7109989;420.5396111;13.09874443;51.35971162;1.114265178;Type1
3.258650973;118.4691705;27326.09498;6.791595477;353.1410021;474.8315878;17.04612069;52.03975713;2.868460785;Type2
3.114206514;245.3593823;23348.25354;2.886929314;498.1422728;528.2527526;10.17148677;67.54747706;2.385436767;Type1
3.442155685;234.0635407;14782.93565;6.410554321;364.2006187;421.6374473;14.83137516;30.01591563;3.808087193;Type1
6.05963819;285.3083653;24001.88167;6.694268756;236.9728409;573.3198333;9.263490754;84.15579438;2.043532782;Type2
4.757479756;109.6829134;27575.79923;3.116481114;461.8052925;543.2468048;13.15175377;64.19229942;3.477884479;Type2
6.538318729;196.8790439;13928.24831;1.175405059;380.9009842;524.4346926;13.33776909;47.5899844;1.275411566;Type1
4.449662014;284.2809117;11695.33895;6.685203948;456.5894037;628.7271574;6.123794196;73.69503225;1.362231349;Type1
3.708738612;240.0422922;12048.57762;2.429833632;391.0874621;480.8434669;11.10545887;22.62760752;3.956359345;Type2
7.152507215;296.9337784;19747.81345;4.01692717;374.333944;690.6637314;5.048374497;79.60962761;4.52218157;Type2
6.549059623;100.5511963;22294.81082;7.998461804;479.4500889;531.1307731;15.15201946;64.98043148;1.180741331;Type2
7.167970249;107.3282703;16019.83091;9.76249154;257.1376894;487.0734676;5.40672511;64.34100009;3.00019516;Type2
4.956848005;112.5651711;17491.69484;2.325915194;359.5335279;681.3823701;17.07189784;43.71130608;4.063472629;Type1
3.588758284;140.2801178;22732.59407;2.324288954;381.2483192;418.2618703;19.35687386;34.65633888;4.69687402;Type2
6.386862531;174.7634447;18290.91819;2.232482453;446.9830446;478.504286;15.0830249;35.79238901;4.217466276;Type2
3.273381271;288.5905327;11807.51254;1.42561922;399.7604186;624.4566603;16.90566551;108.2323006;1.230135261;Type1
6.489060834;160.8766544;28547.71882;8.950670332;354.7857548;677.7450654;9.732421515;50.2003053;4.937752134;Type1
5.452110148;249.5237133;18980.27799;8.360217278;434.3070165;625.1474519;5.238610093;66.51404033;1.981959163;Type2
8.137494626;284.3497968;15581.14;4.825650927;211.1378727;524.666056;11.36815832;66.75015364;1.693506792;Type2
3.125740023;295.2920243;22435.178;5.270265826;251.0307487;580.9558721;5.244447831;27.80187627;4.844017492;Type1
6.758993677;284.1022762;19013.14162;9.931084085;251.13127;415.6518107;8.354130253;27.60272079;3.736567312;Type1
3.236061945;180.9937832;13455.83849;5.865005894;420.6132773;517.853801;8.24710446;41.55597818;1.955727604;Type2
6.511088969;270.7048064;21755.21415;1.33501149;284.0736038;461.4889306;12.4011288;93.84961399;2.812625557;Type1
7.248253792;176.1187551;13244.97461;4.920053505;308.5978045;599.7030495;17.87520457;59.7596313;3.625095214;Type1
3.80672277;144.2028025;18078.05377;8.051059575;387.2461295;526.8200166;13.25293022;56.32610746;2.41791865;Type2
3.891619477;162.276575;22278.47042;3.586617489;304.9291153;620.8080036;8.440414232;100.2683548;1.739288384;Type2
3.532303315;282.596514;12301.65631;2.102283603;365.7076258;595.1317929;14.25160975;78.45833492;1.737810481;Type1
7.601975643;299.3446381;16453.62383;7.77867671;320.3211601;420.5965223;16.59374722;106.6510424;3.024174225;Type2
4.495827276;290.3394476;14033.61699;5.312558242;376.3207711;640.7835721;10.97616172;93.93008139;3.864267359;Type1
7.508436524;284.5115854;26679.28667;3.862136003;203.7234221;676.8824994;10.22229851;97.07070994;4.380629;Type1
6.752519431;189.8171527;21134.04738;6.394418398;409.5475413;447.3035155;18.53738419;118.9045415;1.126366814;Type2
